Date,Team,Score,Result,Home or Away,Unix Timestamp
"Wed, Oct 19",Orlando,`113-109,W,Home,
"Fri, Oct 21",New York,`130-106,L,Away,
"Sat, Oct 22",Indiana,`124-115,L,Away,
"Tue, Oct 25",Washington,`120-99,L,Away,
"Wed, Oct 26",Atlanta,`118-113,L,Home,
"Fri, Oct 28",Atlanta,`136-112,L,Home,
"Sun, Oct 30",Golden State,`128-114,W,Home,
"Mon, Oct 31",Milwaukee,`110-108,L,Away,
"Wed, Nov 2",Milwaukee,`116-91,L,Away,
"Fri, Nov 4",Cleveland,`112-88,L,Home,
"Mon, Nov 7",Oklahoma City,`112-103,W,Home,
"Wed, Nov 9",Boston,`128-112,L,Away,
"Fri, Nov 11",New York,`121-112,L,Away,
"Sat, Nov 12",Boston,`117-108,L,Home,
"Mon, Nov 14",Toronto,`115-111,L,Home,
"Thu, Nov 17",LA,`96-91,L,Away,
"Fri, Nov 18",Los Angeles,`128-121,L,Away,
"Sun, Nov 20",Sacramento,`137-129,L,Away,
"Tue, Nov 22",Denver,`110-108,W,Away,
"Wed, Nov 23",Utah,`125-116,W,Away,
"Fri, Nov 25",Phoenix,`108-102,L,Away,
"Sun, Nov 27",Cleveland,`102-94,L,Home,
"Tue, Nov 29",New York,`140-110,L,Home,
"Thu, Dec 1",Dallas,`131-125 OT,W,Home,
"Sun, Dec 4",Memphis,`122-112,L,Home,
"Tue, Dec 6",Miami,`116-96,W,Away,
"Wed, Dec 7",New Orleans,`104-98,L,Away,
"Fri, Dec 9",Memphis,`114-103,L,Away,
"Sun, Dec 11",Los Angeles,`124-117,L,Home,
"Wed, Dec 14",Charlotte,`141-134 OT,W,Away,
"Fri, Dec 16",Sacramento,`122-113,L,Home,
"Sun, Dec 18",Brooklyn,`124-121,L,Home,
"Tue, Dec 20",Utah,`126-111,L,Home,
"Wed, Dec 21",Philadelphia,`113-93,L,Away,
"Fri, Dec 23 2022 6:30 PM",Atlanta,,,Away,1671841800.0
"Mon, Dec 26 2022 6:00 PM",LA,,,Home,1672099200.0
"Wed, Dec 28 2022 6:00 PM",Orlando,,,Home,1672272000.0
"Fri, Dec 30 2022 7:00 PM",Chicago,,,Away,1672448400.0
"Sat, Dec 31 2022 7:00 PM",Minnesota,,,Away,1672534800.0
"Mon, Jan 2 2023 9:00 PM",Portland,,,Away,1672714800.0
"Wed, Jan 4 2023 9:00 PM",Golden State,,,Away,1672887600.0
"Fri, Jan 6 2023 7:00 PM",San Antonio,,,Away,1673053200.0
"Sun, Jan 8 2023 2:00 PM",Philadelphia,,,Home,1673208000.0
"Tue, Jan 10 2023 6:30 PM",Philadelphia,,,Away,1673397000.0
"Wed, Jan 11 2023 6:00 PM",Minnesota,,,Home,1673481600.0
"Fri, Jan 13 2023 6:00 PM",New Orleans,,,Home,1673654400.0
"Sun, Jan 15 2023 12:00 PM",New York,,,Home,1673805600.0
"Thu, Jan 19 2023 2:00 PM",Chicago *,,,Home,1674158400.0
"Mon, Jan 23 2023 6:00 PM",Milwaukee,,,Home,1674518400.0
"Thu, Jan 26 2023 6:30 PM",Brooklyn,,,Away,1674779400.0
"Sat, Jan 28 2023 6:00 PM",Houston,,,Home,1674950400.0
"Mon, Jan 30 2023 7:30 PM",Dallas,,,Away,1675128600.0
"Wed, Feb 1 2023 6:00 PM",Washington,,,Home,1675296000.0
"Fri, Feb 3 2023 6:00 PM",Charlotte,,,Home,1675468800.0
"Sat, Feb 4 2023 6:00 PM",Phoenix,,,Home,1675555200.0
"Mon, Feb 6 2023 6:00 PM",Boston,,,Home,1675728000.0
"Wed, Feb 8 2023 6:00 PM",Cleveland,,,Away,1675900800.0
"Fri, Feb 10 2023 6:00 PM",San Antonio,,,Home,1676073600.0
"Sun, Feb 12 2023 2:00 PM",Toronto,,,Away,1676232000.0
"Wed, Feb 15 2023 6:30 PM",Boston,,,Away,1676507400.0
"Thu, Feb 23 2023 6:00 PM",Orlando,,,Away,1677196800.0
"Sat, Feb 25 2023 11:00 AM",Toronto,,,Home,1677344400.0
"Mon, Feb 27 2023 6:00 PM",Charlotte,,,Away,1677542400.0
"Wed, Mar 1 2023 6:00 PM",Chicago,,,Home,1677715200.0
"Sat, Mar 4 2023 6:30 PM",Cleveland,,,Away,1677976200.0
"Tue, Mar 7 2023 6:00 PM",Portland,,,Home,1678233600.0
"Thu, Mar 9 2023 6:00 PM",Charlotte,,,Home,1678406400.0
"Sat, Mar 11 2023 6:00 PM",Indiana,,,Home,1678579200.0
"Mon, Mar 13 2023 6:00 PM",Indiana,,,Home,1678748400.0
"Tue, Mar 14 2023 6:00 PM",Washington,,,Away,1678834800.0
"Thu, Mar 16 2023 6:00 PM",Denver,,,Home,1679007600.0
"Sun, Mar 19 2023 5:00 PM",Miami,,,Home,1679263200.0
"Tue, Mar 21 2023 6:30 PM",Atlanta,,,Away,1679441400.0
"Fri, Mar 24 2023 6:30 PM",Toronto,,,Away,1679700600.0
"Mon, Mar 27 2023 6:00 PM",Milwaukee,,,Home,1679958000.0
"Wed, Mar 29 2023 7:00 PM",Oklahoma City,,,Away,1680134400.0
"Fri, Mar 31 2023 7:00 PM",Houston,,,Away,1680307200.0
"Sun, Apr 2 2023 5:00 PM",Orlando,,,Away,1680472800.0
"Tue, Apr 4 2023 6:00 PM",Miami,,,Home,1680649200.0
"Wed, Apr 5 2023 6:00 PM",Brooklyn,,,Home,1680735600.0
"Fri, Apr 7 2023 6:00 PM",Indiana,,,Away,1680908400.0
"Sun, Apr 9 2023 12:00 PM",Chicago,,,Away,1681059600.0
